"","PID","selection","satisfaction"
"1","ID 1","C","1"
"2","ID 2","A","1"
"3","ID 3","C","1"
"4","ID 4","A","6"
"5","ID 5","B","1"
"6","ID 6","C","5"
"7","ID 7","C","2"
"8","ID 8","B","7"
"9","ID 9","A","1"
"10","ID 10","A","1"
"11","ID 11","C","6"
"12","ID 12","A","6"
"13","ID 13","A","2"
"14","ID 14","A","5"
"15","ID 15","A","7"
"16","ID 16","C","2"
"17","ID 17","A","2"
"18","ID 18","C","7"
"19","ID 19","B","5"
"20","ID 20","B","7"
"21","ID 21","C","5"
"22","ID 22","B","3"
"23","ID 23","A","5"
"24","ID 24","A","7"
"25","ID 25","C","1"
"26","ID 26","A","6"
"27","ID 27","A","4"
"28","ID 28","B","1"
"29","ID 29","B","7"
"30","ID 30","C","7"
"31","ID 31","B","6"
"32","ID 32","B","6"
"33","ID 33","C","3"
"34","ID 34","B","6"
"35","ID 35","B","3"
"36","ID 36","B","6"
"37","ID 37","A","7"
"38","ID 38","C","2"
"39","ID 39","C","5"
"40","ID 40","B","7"
"41","ID 41","A","1"
"42","ID 42","B","1"
"43","ID 43","A","3"
"44","ID 44","C","5"
"45","ID 45","C","4"
"46","ID 46","C","1"
"47","ID 47","B","6"
"48","ID 48","B","4"
"49","ID 49","B","5"
"50","ID 50","C","6"
